PM2.5,AQI
27.19,110.0
28.25,98.0
25.91,101.0
31.76,117.0
32.55,130.0
27.15,122.0
26.93,128.0
28.71,128.0
22.56,131.0
23.82,121.0
23.73,130.0
33.47,143.0
26.52,146.0
30.45,135.0
26.79,127.0
23.79,122.0
26.17,125.0
21.31,125.0
21.94,135.0
23.19,117.0
21.9,127.0
19.15,125.0
35.75,136.0
27.28,137.0
20.85,133.0
23.98,133.0
25.6,132.0
33.35,130.0
31.38,142.0
29.26,135.0
25.47,140.0
24.84,126.0
29.78,126.0
31.25,123.0
30.7,117.0
23.91,126.0
25.71,112.0
22.83,104.0
31.02,126.0
131.88,152.0
26.08,101.0
30.72,92.0
33.19,95.0
20.67,93.0
22.92,97.0
21.17,84.0
23.62,101.0
20.4,92.0
21.4,105.0
21.72,98.0
24.1,96.0
21.21,96.0
31.49,80.0
14.79,95.0
17.65,108.0
22.9,124.0
24.28,106.0
19.02,75.0
22.2,85.0
30.29,91.0
32.56,95.0
36.48,93.0
62.12,92.0
31.57,82.0
29.75,74.0
40.02,98.0
37.63,119.0
