"Q90201","q_affirmative","q_applicable"
"Preparatory","102","102"
"Preparatory","129","129"
"Preparatory","98","99"
"Preparatory","103","103"
"Preparatory","90","93"
"Preparatory","104","105"
"Bachelor","93","95"
"Diploma/associate degree","94","96"
"Elementary","109","110"
"Preparatory","90","94"
"Bachelor","114","114"
"Diploma/associate degree","102","102"
"Secondary","123","123"
"Secondary","113","113"
"Higher education","133","137"
"Secondary","94","96"
"Diploma/associate degree","99","102"
"Preparatory","104","105"
"Preparatory","93","96"
"Bachelor","111","111"
"Secondary","96","97"
"Diploma/associate degree","98","99"
"Secondary","93","95"
"Bachelor","112","118"
"Diploma/associate degree","99","99"
"Secondary","97","98"
"Secondary","110","113"
"Secondary","109","109"
"Diploma/associate degree","106","109"
"Secondary","117","118"
"Higher education","99","100"
"Secondary","124","125"
"Preparatory","110","111"
"Secondary","114","116"
"Secondary","112","115"
"Preparatory","118","119"
"Elementary","117","118"
"Preparatory","117","117"
"Bachelor","109","110"
"Secondary","97","97"
"Secondary","96","97"
"Preparatory","122","122"
"Diploma/associate degree","106","106"
"Preparatory","96","97"
"Secondary","115","115"
"Secondary","114","114"
"Secondary","98","99"
"Preparatory","117","117"
"Secondary","115","116"
"Bachelor","118","120"
"Secondary","91","93"
"Preparatory","102","102"
"Preparatory","93","108"
"Preparatory","97","97"
"Secondary","93","93"
"Diploma/associate degree","112","113"
"Bachelor","119","119"
"Preparatory","107","108"
"Diploma/associate degree","123","125"
"Secondary","94","94"
"Preparatory","98","101"
"Secondary","112","113"
"Secondary","119","122"
"Bachelor","103","103"
"Secondary","84","93"
"Preparatory","77","94"
"Secondary","114","116"
"Secondary","110","110"
"Bachelor","86","95"
"Elementary","102","102"
"Preparatory","85","95"
"Secondary","103","104"
"Preparatory","111","114"
"Preparatory","95","96"
"Secondary","101","102"
"Secondary","122","123"
"Bachelor","118","120"
"Diploma/associate degree","118","120"
"Higher education","127","128"
"Bachelor","123","124"
"Bachelor","121","122"
"Secondary","113","113"
"Bachelor","94","95"
"Bachelor","98","109"
"Preparatory","95","97"
"Bachelor","115","119"
"Elementary","104","107"
"Bachelor","96","97"
"Secondary","101","102"
"Secondary","89","95"
"Preparatory","112","114"
"Diploma/associate degree","85","88"
"Bachelor","82","94"
"Bachelor","85","96"
"Diploma/associate degree","84","98"
"Preparatory","100","101"
"Bachelor","112","113"
"Secondary","100","101"
"Elementary","96","97"
"Bachelor","106","107"
"Elementary","95","96"
"Bachelor","108","109"
"Bachelor","134","138"
"Secondary","105","108"
"Secondary","104","104"
"Diploma/associate degree","119","120"
"Bachelor","97","97"
"Preparatory","103","103"
"Secondary","98","99"
"Preparatory","109","109"
"Secondary","106","106"
"Diploma/associate degree","94","95"
"Diploma/associate degree","112","116"
"Bachelor","103","109"
"Bachelor","115","116"
"Diploma/associate degree","82","93"
"Refuse to answer (do not read)","99","116"
"Secondary","97","102"
"Illiterate (cannot read and write)","99","99"
"Secondary","100","101"
"Elementary","96","98"
"Diploma/associate degree","89","94"
"Secondary","103","117"
"Secondary","93","110"
"Bachelor","113","117"
"Bachelor","107","111"
"Bachelor","101","102"
"Bachelor","88","93"
"Bachelor","117","118"
"Secondary","101","101"
"Preparatory","85","91"
"Preparatory","89","92"
"Secondary","102","102"
"Diploma/associate degree","118","119"
"Elementary","107","109"
"Preparatory","96","97"
"Bachelor","114","114"
"Secondary","125","126"
"Secondary","121","121"
"Illiterate (cannot read and write)","101","101"
"Preparatory","103","104"
"Secondary","114","115"
"Higher education","96","96"
"Illiterate (cannot read and write)","89","94"
"Bachelor","108","110"
"Bachelor","110","110"
"Secondary","90","95"
"Preparatory","100","109"
"Bachelor","125","125"
"Preparatory","108","108"
"Secondary","104","104"
"Secondary","92","99"
"Preparatory","93","101"
"Refuse to answer (do not read)","105","107"
"Preparatory","87","96"
"Preparatory","112","112"
"Secondary","89","96"
"Secondary","103","103"
"Secondary","129","129"
"Secondary","113","114"
"Secondary","113","115"
"Secondary","118","119"
"Secondary","79","95"
"Secondary","113","120"
"Preparatory","102","102"
"Elementary","97","102"
"Preparatory","91","96"
"Elementary","111","114"
"Illiterate (cannot read and write)","109","111"
"Elementary","92","93"
"Secondary","91","92"
"Preparatory","95","96"
"Diploma/associate degree","118","119"
"Secondary","82","96"
"Secondary","91","91"
"Preparatory","101","111"
"Secondary","98","98"
"Preparatory","128","130"
"Bachelor","89","95"
"Elementary","98","98"
"Preparatory","103","103"
"Secondary","106","106"
"Preparatory","118","118"
"Preparatory","111","111"
"Diploma/associate degree","94","94"
"Secondary","102","102"
"Elementary","103","103"
"Preparatory","101","102"
"Secondary","102","103"
"Secondary","121","121"
"Bachelor","113","115"
"Secondary","103","103"
"Diploma/associate degree","120","121"
"Diploma/associate degree","120","120"
"Illiterate (cannot read and write)","90","97"
"Diploma/associate degree","110","110"
"Bachelor","120","120"
"Diploma/associate degree","109","109"
"Preparatory","88","95"
"Refuse to answer (do not read)","81","106"
"Secondary","115","115"
"Secondary","95","98"
"Secondary","72","90"
"Diploma/associate degree","96","97"
"Secondary","95","96"
"Higher education","85","95"
"Diploma/associate degree","104","105"
"Diploma/associate degree","110","117"
"Secondary","95","96"
"Secondary","97","99"
"Secondary","108","109"
"Secondary","97","98"
"Secondary","107","107"
"Secondary","100","100"
"Diploma/associate degree","105","109"
"Secondary","105","106"
"Secondary","94","95"
"Secondary","109","109"
"Secondary","106","108"
"Preparatory","100","100"
"Secondary","96","97"
"Refuse to answer (do not read)","91","96"
"Secondary","90","98"
"Elementary","87","96"
"Secondary","98","100"
"Elementary","91","100"
"Secondary","94","94"
"Secondary","112","112"
"Preparatory","82","96"
"Refuse to answer (do not read)","90","94"
"Diploma/associate degree","90","94"
"Secondary","101","101"
"Preparatory","106","109"
"Diploma/associate degree","88","93"
"Secondary","107","114"
"Diploma/associate degree","96","97"
"Secondary","116","117"
"Secondary","101","101"
"Secondary","113","113"
"Secondary","97","97"
"Preparatory","112","114"
"Bachelor","97","100"
"Bachelor","99","99"
"Diploma/associate degree","103","103"
"Secondary","102","102"
"Secondary","107","107"
"Secondary","113","114"
"Secondary","107","109"
"Secondary","93","94"
"Bachelor","101","107"
"Bachelor","104","108"
"Secondary","103","104"
"Secondary","101","102"
"Preparatory","116","116"
"Bachelor","106","110"
"Illiterate (cannot read and write)","91","92"
"Diploma/associate degree","78","97"
"Secondary","131","131"
"Higher education","114","119"
"Elementary","111","111"
"Diploma/associate degree","79","93"
"Bachelor","88","113"
"Preparatory","93","95"
"Diploma/associate degree","94","94"
"Elementary","94","95"
"Secondary","97","97"
"Bachelor","82","96"
"Secondary","105","106"
"Diploma/associate degree","97","107"
"Secondary","111","111"
"Elementary","101","106"
"Secondary","112","113"
"Diploma/associate degree","83","90"
"Secondary","106","107"
"Preparatory","90","98"
"Higher education","85","100"
"Diploma/associate degree","98","101"
"Elementary","119","119"
"Elementary","99","101"
"Secondary","97","101"
"Preparatory","114","116"
"Secondary","90","94"
"Secondary","98","98"
"Bachelor","129","130"
"Bachelor","91","101"
"Illiterate (cannot read and write)","103","103"
"Secondary","93","100"
"Preparatory","80","94"
"Secondary","79","91"
"Diploma/associate degree","105","109"
"Secondary","88","96"
"Preparatory","94","101"
"Diploma/associate degree","86","93"
"Diploma/associate degree","87","91"
"Elementary","82","92"
"Elementary","92","101"
"Illiterate (cannot read and write)","90","93"
"Preparatory","99","99"
"Diploma/associate degree","81","91"
"Secondary","96","98"
"Preparatory","109","110"
"Secondary","93","99"
"Secondary","101","101"
"Diploma/associate degree","86","91"
"Secondary","102","105"
"Secondary","118","118"
"Diploma/associate degree","92","93"
"Preparatory","107","107"
"Preparatory","101","101"
"Preparatory","93","94"
"Secondary","97","98"
"Preparatory","78","92"
"Diploma/associate degree","85","100"
"Bachelor","123","123"
"Bachelor","105","107"
"Secondary","120","125"
"Elementary","90","94"
"Preparatory","107","108"
"Preparatory","111","112"
"Bachelor","114","121"
"Illiterate (cannot read and write)","103","103"
"Secondary","76","86"
"Preparatory","107","108"
"Elementary","94","96"
"Illiterate (cannot read and write)","93","95"
"Elementary","95","96"
"Secondary","102","102"
"Preparatory","90","93"
"Secondary","103","113"
"Secondary","97","100"
"Illiterate (cannot read and write)","89","96"
"Preparatory","96","96"
"Preparatory","99","100"
"Preparatory","90","92"
"Secondary","114","114"
"Illiterate (cannot read and write)","105","108"
"Secondary","98","99"
"Secondary","109","110"
"Illiterate (cannot read and write)","102","102"
"Preparatory","110","110"
"Preparatory","117","117"
"Preparatory","101","101"
"Preparatory","92","94"
"Bachelor","105","106"
"Secondary","100","101"
"Diploma/associate degree","83","98"
"Diploma/associate degree","98","99"
"Secondary","98","98"
"Secondary","97","98"
"Diploma/associate degree","83","97"
"Diploma/associate degree","92","93"
"Bachelor","96","97"
"Preparatory","108","112"
"Secondary","93","98"
"Diploma/associate degree","98","105"
"Secondary","103","105"
"Bachelor","102","103"
"Bachelor","98","98"
"Bachelor","92","94"
