"AQI_Bucket","PM2.5","AQI"
"Severe","92.94","610"
"Severe","87.3","716"
"Severe","89.06","804"
"Severe","51.61","656"
"Severe","91.13","1201"
"","88.69",""
"Severe","108.92","595"
"Very Poor","89.63","384"
"Very Poor","55.27","332"
"Severe","97.88","1155"
"Severe","128.56","1355"
"Severe","103.63","1367"
"Severe","102.16","795"
"Severe","89.53","430"
"Severe","101.92","1153"
"Severe","117.99","1414"
"Severe","115.79","1042"
"Severe","189.12","1613"
"Severe","88.37","433"
"Severe","96.64","692"
"Severe","98","620"
"Severe","93.31","617"
"Severe","104.89","590"
"Severe","109.34","856"
"Severe","70.25","587"
"Severe","103.17","1423"
"Severe","185.77","1917"
"Severe","84.48","471"
"Severe","89.41","488"
"Severe","64.61","471"
"Moderate","65.35","172"
"Very Poor","52.18","390"
"Severe","75.13","802"
"Severe","83.65","1035"
"Severe","220.49","1477"
"Severe","242.66","2049"
"Severe","114.78","1314"
"Severe","92.92","1215"
"Severe","91.66","1483"
"Severe","138.4","1526"
"","",""
"","38.82",""
"Severe","49.18","460"
"Severe","56.42","700"
"Severe","60.36","831"
"Poor","54.45","291"
"Moderate","53.5","132"
"Poor","41.64","212"
"Severe","32.36","717"
"Severe","29.98","525"
"Severe","33.3","777"
"Severe","56.51","807"
"Severe","88.85","520"
"Severe","111.68","1171"
"Severe","114.06","1332"
"Severe","116.93","1260"
"Severe","84.19","708"
"Severe","98.53","1108"
"Severe","84.16","761"
"Severe","71.82","541"
"Severe","80.51","1274"
"Severe","133.48","1241"
"Severe","116.54","1210"
"Very Poor","98.49","301"
"Severe","160.68","549"
"Severe","102.05","414"
"Severe","100.33","484"
"Severe","99.73","577"
"Severe","104.22","862"
"Severe","109.8","889"
"Severe","124.44","1001"
"Severe","180.27","1156"
"Severe","138.6","691"
"Very Poor","139.21","308"
"Severe","154.09","965"
"Severe","121","1434"
"Severe","80.56","579"
"Severe","103.75","1034"
"Severe","75.68","498"
"Poor","62.83","265"
"Severe","104.23","740"
"Severe","91.04","856"
"Very Poor","90.13","304"
"Severe","160.43","657"
"Severe","94.55","403"
"Severe","124.59","596"
"Very Poor","92.5","392"
"Severe","86.29","414"
"Severe","104.21","442"
"Severe","88.5","438"
"Severe","84.47","561"
"Severe","73.54","660"
"Severe","53.89","616"
"Severe","60.08","855"
"Severe","53.13","633"
"Poor","71.3","274"
"Poor","37.9","210"
"Severe","78.18","478"
"Severe","56.35","465"
"Severe","59.66","836"
"Severe","114.6","1235"
"Severe","74.48","525"
"Severe","81.11","525"
"Severe","100.39","650"
"Poor","39.97","219"
"Very Poor","53.61","328"
"Very Poor","63.06","351"
