"Operator","Aboard","Fatalities"
"Western Airlines","12","12"
"China National Aviation Corporation","","87"
"American Airlines","21","2"
"Kansas City Southern Skyways","2","2"
"Trans Continental and Western Air","23","13"
"Panair do Brasil","14","11"
"Nationwide Air Transport","23","3"
"China National Aviation Corporation","38","38"
"Far Eastern Air Transport","42","7"
"British Overseas Airways","16","8"
"Eastern Air Lines","19","18"
"Military - Mexican Air Force","21","21"
"China National Aviation Corporation","19","19"
"Spencer Airways / Ceskoslovenske Aerolinie","23","12"
"Philippine Air Lines","4","4"
"KLM Royal Dutch Airlines","22","22"
"China National Aviation Corporation","26","25"
"Air France","16","15"
"International Air Freight","3","1"
"Aerovias Cuba International","12","12"
"Slick Airways","2","2"
"Military - Corrieri Aerei Militari","16","16"
"AVIANCA","53","53"
"Military - Chinese Air Force","21","21"
"Military - Royal Air Force","12","12"
"VIARCO","9","9"
"Military - Royal Air Force","13","13"
"Air France","23","23"
"TACA","8","8"
"Military - Royal Air Force","15","11"
"Linea Aeropostal Venezolana","27","27"
"British South American Airways","15","6"
"Delta Air Lines","10","10"
"TAM (Peru)","26","22"
"Trans Canada Air Lines","15","15"
"Trans Continental and Western Air","4","4"
"Flugefelag","25","25"
"Military - U.S. Army Air Forces","40","40"
"United Air Lines","48","43"
"Eastern Air Lines","53","53"
"Air France","2","2"
"Flota Aérea Mercante Argentina","18","5"
"Pennsylvania Central Airlines","50","50"
"Pan American World Airways","36","14"
"Air France","13","13"
"Burke Air Transport","36","14"
"Aero Cargo","19","1"
"British Overseas Airways","6","6"
"Flota Aérea Mercante Argentina","6","2"
