"Operator","Aboard","Fatalities"
"EgyptAir","6","6"
"Military - U.S. Air Force","12","12"
"Superior Airways","3","3"
"Pakistan International Airlines","26","26"
"Red Carpet Flying Service - Air Taxi","4","4"
"United Air Lines","61","43"
"Zantop Airways","2","2"
"Delta Air Lines/ North Central Airlines","133","10"
"Military - U.S. Air Force","16","14"
"Air Guadeloupe","13","13"
"Braathens","45","40"
"Eastern Air Lines","176","103"
"American Express Leasing","5","5"
"PacifiWestern Airlines","5","5"
"British European Airways","4","4"
"Aeroflot","44","44"
"Alia Royal Jordanian Airlines","202","176"
"Air Transit - Air Taxi","4","3"
"TAN","3","3"
"Air Sinai","37","37"
"Harry Faulkner - Air Taxi","2","2"
"Aeroflot","100","66"
"Petrolium Helo Inc.","5","5"
"Aerovias Urraca","28","22"
"Libya Arab Airlines","113","110"
"Air Taxi","2","2"
"Aeroflot","79","79"
"Aeroflot","32","32"
"Military - Polish Air Force","15","15"
"Military - Polish Air Force","18","18"
"Merpati Nusantara Airlines","13","13"
"Balkan Bulgarian Airlines","25","25"
"Aviaco","3","3"
"Lineas Aereas de Espana/Spantax SA Transportes","182","68"
"Air America","4","4"
"Indian Airlines","3","3"
"Military - U.S. Navy","5","5"
"Air Vietnam (South Vietnam)","62","62"
"Invicta International Airlines (UK)","145","108"
"Military - U.S. Navy / NASA","17","16"
"Military - U.S. Navy","16","15"
"Bakhtar Afghan Airlines","19","4"
"Air Iowa","6","6"
"Air Taxi","4","4"
"Winship Air Service - Air Taxi","5","2"
"Aeroflot","100","100"
"Cambodia Air","11","11"
"Air Gaspé","4","4"
"Indian Airlines","65","48"
"Cruzeiro","23","23"
"Aeroflot","6","6"
"Varig","4","2"
"Aeromexico","27","27"
"Aeroflot","84","5"
"Varig","134","123"
"Pan American World Airways","79","78"
"Ozark Air Lines","44","38"
"Air Hawaii","5","5"
"Delta Air Lines","89","89"
"Revilla Flying Service - Air Taxi","5","5"
"Aeroflot","119","119"
"Aviaco","85","85"
"Private","10","10"
"Aeroflot","64","56"
"AVIANCA","17","16"
"Aerovias Brasil","42","42"
"Military - U.S. Air Force","25","24"
"Trans World Airlines","149","1"
"Aegler Stuart Flying Service  / Private","5","4"
"World Airways","6","6"
"Wicks Flying Service - Air Taxi","4","4"
"JAT Yugoslav Airlines","41","41"
"Private Charter","6","6"
"Dunlap Aviation - Air Taxi","2","2"
"Lisa Jet Inc. - Air Taxi","3","3"
"Texas International Airlines","11","11"
"Aeronorte","9","9"
"Aeroflot","108","108"
"Aeroflot","10","10"
"Taxi Aéreo Cesar Aguiar","8","8"
"VASP","65","8"
"CATA","4","4"
"Jack N. Boswick - Air Taxi","7","2"
"Lineas Aéreas La Urraca","16","6"
"National Airlines","128","1"
"Pan American World Airways","3","3"
"Air Vietnam (South Vietnam)","27","27"
"Aeroflot","72","13"
"Churchill Falls Co.","8","8"
"Military - U.S. Navy","10","10"
"Aeroflot","51","51"
"Pan American World Airways","177","30"
"Capitol Air Service - Air Taxi","2","2"
"TAM (Bolivia)","9","6"
"Military - Vietnamese Air Force","20","20"
"Sobelair SA (Belgium)","106","106"
"Aeroflot","17","17"
"Executive Funds","25","1"
"Itavia","42","38"
"Servicios Aéreos Boliviano","4","4"
"Air East","17","12"
"Aeroflot","24","24"
"Military - Colombian Air Force","31","31"
"TAM (Bolivia)","24","24"
"Cessnyca","14","14"
"Aeroflot","4","4"
"Inland Aviation - Air Taxi","2","2"
"Turkish Airlines (THY)","73","66"
"Taos Airways - Air Taxi","3","3"
"Theif River Aviation - Air Taxi","4","4"
"Pan American World Airways","101","96"
"Pan American World Airways","298","1"
"Military - West German Air Force","40","35"
"North Cay Air - Air Taxi","2","2"
"Delta Air Lines","15","1"
"SAVCO","7","7"
"Military - Imperial Iranian Air Force","10","10"
"Turkish Airlines (THY)","346","346"
"Pathet Lao Airlines","18","18"
"Executive Air - Air Taxi","4","4"
"Sierra PacifiAirlines","36","36"
"Sterling Airways","96","15"
"Wenela Air Services","84","78"
"Island Air","11","11"
"Pan American World Airways","107","107"
"Aeroflot","115","1"
"Aeroflot","118","118"
"Houston Metro Airlines","12","6"
"Aero Taxis Equatorianos","24","22"
"Fragtflug","3","3"
"Saturn Airways","3","3"
"Aeroflot","29","29"
"Lambair","2","2"
"Aerolineas TAO","44","44"
"Cambodia Air","39","19"
"Alaska Helicopter - Air Taxi","5","5"
"Aeronorte Colombia","3","3"
"Air Amercia","5","5"
"Laurentian Air Services","11","5"
"Military - Canadian Air Force","9","9"
"Air  Mali","60","47"
"AVIANCA","27","27"
"MerriAviation - Air Taxi","4","4"
"Linea Aeropostal Venezolana","49","48"
"Military - U.S. Air Force","7","7"
"Military - Zairean Air Force","31","31"
"Garuda Indonesia Airlines","39","35"
"Trans World Airlines","88","88"
"Eastern Air Lines","82","70"
"Air Vietnam (South Vietnam)","75","75"
"Riverside Air","5","5"
"Frontier Flying Service - Air Taxi","2","2"
"Winship Air Service","6","6"
"North Cay Airways","2","2"
"Evergreen Helicopter - Air Taxi","3","3"
"EgyptAir","6","6"
"Military - U.S. Air Force","6","6"
"Webber Airlines -Air Taxi","8","5"
"Mabuhay Airways","8","1"
"Deming Flying Service - Air Taxi","2","2"
"AltusFlying Service - Air Taxi","4","2"
"Henry Nichols - Air Taxi","3","2"
"Willow Air Service - Air Taxi","3","3"
"Alaska International Air","4","4"
"Hlavka Aviation - Air Taxi","2","2"
"Pan ArctiOil","34","32"
"","3","3"
"Southeast Sky - Air Taxi","4","4"
"Orient Air System and Integrated Services","8","1"
"Ethiopian Airlines","24","2"
"Lufthansa","157","59"
"Alpa Servicios Aéreos","4","4"
"Northwest Orient Airlines","3","3"
"Trans World Airlines","92","92"
"Martinair Holland NV","191","191"
"Kodiak Airways","5","5"
"Military - Vietnamese Air Force","54","54"
"Aeroflot","7","7"
"Aerovias Venezolanas SA (Venezuela)","77","77"
"Harbor Airlines - Air Taxi","6","4"
"Tarom","33","33"
"Aeroflot","61","61"
"Air America","9","9"
"Richland Flying Service - Air Taxii","4","3"
"Military - Argentine Navy","12","12"
"SATENA","21","21"
"Golden West Airlines / Private","14","14"
"Channel Flying Service - Air Taxi","5","5"
"Malev Hungarian Airlines","9","9"
"Aeroflot","16","16"
"Turkish Airlines (THY)","42","42"
"Linea Aérea Nacional","30","1"
"Kenai Air Service - Air Taxi","2","2"
"Horizon Properties","16","5"
"Philippine Air Lines","33","32"
"Military - Deutsche Luftwaffe","40","40"
"PacifiAlaska Airlines","3","3"
"Aerocondor","5","5"
"VASP","15","15"
"Burlington Air - Air Taxi","4","2"
"Air Vietnam (South Vietnam)","26","26"
"Military - Argentine Air Force","55","55"
"Sudan Airways","6","5"
"Military - U.S. Air Force","16","16"
"Military - U.S. Air Force","330","155"
"Skips Air Service - Air Taxi","3","3"
"Gay Airways - Air Taxi","4","2"
"SATENA","6","3"
"Air Express","2","2"
"Foster Aviation","6","6"
"Military - U.S. Air Force","23","23"
"Philippine Air Lines","64","1"
"Varig","15","1"
"Eastern Air Lines","124","113"
"Hamilton Aviation","2","2"
"Taxi Aereo El Venado","3","3"
"Touraine Air Transport","8","8"
"Military - Chilian Air Force","10","10"
"Aerovias Condor","4","2"
"Homer Air Service - Air Taxi","2","2"
"Oceanaire Helicopter - Air Taxi","4","4"
"Aeroflot","41","41"
"Military - U.S. Air Force","6","6"
"Far Eastern Air Transport","76","28"
"Alia Royal Jordanian Airlines","188","188"
"Military - Nicaraguan Air Force","20","20"
"Continental Airlines","131","0"
"Aeroflot","28","28"
"Ceskoslovenske Aerolinie","128","126"
"Portsmouth Aviation - Air Taxi","4","2"
"Military - Nicaraguan Air Force","20","20"
"Wien Air Alaska","32","10"
"Interflug","34","26"
"Ethiopian Airlines","9","1"
"Garuda Indonesia Airlines","61","25"
"Malev Hungarian Airlines","60","60"
"Northern Thunderbird Air","7","7"
"AVIANCA","4","4"
"Connair","11","11"
"Air Taxi","2","2"
"TAM (Bolivia)","67","67"
"Inex Adria Aviopromet","120","75"
"Petroleum Helicopter","9","9"
"Quakertown Aviation - Air Taxi","4","4"
"Aviateca","22","15"
"Aeroflot","19","19"
"Aeroflot","6","6"
"Balkan Bulgarian Airlines","48","3"
"Military - Israel  Air Force","20","20"
"Private","6","6"
"SceniAirline - Air Taxi","2","2"
"Philippine Aerotransport","9","9"
"Star Aviation","9","9"
"Middle East Airlines","82","82"
"Aeroflot","61","61"
"Winship Air","6","6"
"Orlando Airways - Air Taxi","4","4"
"Philippine Aerotransport","7","7"
"Taxi Aereo el Venado","13","13"
"Green Acres - Air Taxi","3","3"
"Frigorifico Maniqui","10","7"
"TAME","42","34"
"CAAC","40","40"
"Transbrasil","11","9"
"Aeroflot","6","6"
"Falcon Airways - Air Taxi","2","2"
"LAC Colombia","3","3"
"Military - U.S. Air Force","7","7"
"Temsco Helicopter - Air Taxi","4","3"
"Mercer Airlines","6","3"
"Aeroflot","24","24"
"Antilles Air","11","5"
"Tarom","9","6"
"TAM (Bolivia)","22","19"
"Aeroflot","120","120"
"Kodiak Western Alaska Airlines","4","4"
"Sky Haven - Air Taxi","2","2"
"Cubana de Aviacion","5","5"
"SATENA","16","5"
"Alaska Airlines","50","1"
"North Sound Aviation","7","7"
"Royal American - Air Taxi","2","2"
"Yacimientos Petroliferos Fiscales","34","34"
"Chartair - Air Taxi","6","6"
"Petroleum Helicopter","12","12"
"Frontier Flying Service - Air Taxi","5","5"
"American Airlines","88","37"
"de Havilland Aircraft","11","11"
"Philippine Aerotransport","10","4"
"OlympiAirways","50","50"
"Military - Imperial Iranian Air Force","17","17"
"Aeroflot","52","52"
"Lab Flying Service - Air Taxi","6","6"
"Philippine Air Lines","87","14"
"Aeroflot","46","46"
"Air Manila","45","45"
"Sabah Air","12","12"
"Sky Chopper  - Air Taxi","2","2"
"Air France","258","7"
"Military - Burma Air Force","17","17"
"Reed Aviation - Air Taxi","5","5"
"Capitol Air Service - Air Taxi","3","2"
"Ceskoslovenske Aerolinie","79","76"
"Mamer - Shreck  - Air Taxi","4","3"
"Korean Airlines","5","5"
"Military - Spanish Air Force","33","11"
"SAETA","59","59"
"Green River Aviation - Air Taxi","3","3"
"Aeroperu","6","6"
"Military - U.S. Air Force","27","23"
"Military - U.S. Air Force","18","18"
"Air France","20","1"
"Military - Venezuelan Air Force","68","68"
"Austin Airways","10","10"
"Aeroflot / Aeroflot","90","90"
"Inex Adria Aviopromet / British Airways","176","176"
"Turkish Airlines (THY)","154","154"
"Air West Airlines Ltd.","19","1"
"Loma Linda University - Air Taxi","4","4"
"Military - U.S. Air Force","20","15"
"Emirates Air Transport","4","4"
"Cubana de Aviacion","73","73"
"Aero National - Air Taxi","4","4"
"Indian Airlines","95","95"
"Lloyd Aéreo Boliviano","3","3"
"Skyline Aviation - Air Taxi","4","4"
"Taxi Aereo el Venado","32","32"
"Nordeste Linhas Aéreas","6","2"
"Bali International Air Service","38","29"
"Inair Panama","2","2"
"Aeroleasing - Air Taxi","5","5"
"PacifiWestern Airlines","6","6"
"Aeroflot","72","72"
"Grand Canyon Air - Air Taxi","2","2"
"AtlantiCity Airlines","10","3"
"Aeroflot","55","48"
"EgyptAir","53","53"
"Valley Air Service - Air Taxi","6","6"
"Faucett","19","19"
"Jet Avia Charter","4","4"
"Aeroflot","96","96"
"Japan Air Lines","5","5"
"Northern Thunderbird Air Ltd.","12","12"
"Skyline Sweden","22","22"
"North Canada Air","2","1"
"Transportes Aéreos Itenez","6","6"
"Ceskoslovenské Aerolinie","5","5"
"Aeroflot","77","77"
"Survair","10","4"
"Alyemda","21","20"
"Military - Italian Air Force","44","44"
"Overseas National Airways","4","2"
"Fleming International Airways","3","3"
"Private","5","5"
"Pan American World Airways / KLM","644","583"
"Merpati Nusantara Airlines","23","15"
"Aeroflot","27","8"
"Southern Airways","85","62"
"Taxi Aereo el Venado","35","35"
"Military - Soviet Air Force","21","21"
"Aviateca","28","28"
"Military - Israel Air Force","54","54"
"LOT Polish Airlines","9","9"
"IAS Cargo","6","6"
"New  York Helicopter","25","4"
"Aeroflot","70","68"
"Intracostals - Air Taxi","3","3"
"Military - Brazilian Air Force","18","18"
"Fuerza Aérea Uruguaya","15","5"
"Military - U.S. Navy","16","16"
"Aeroflot","7","6"
"Military - Angolan Air Force","30","30"
"Ethiopian Airlines","5","5"
"Harold's Air Service","4","1"
"Military - Chilean Air Force","82","38"
"Military - Honduran Air Force","40","25"
"Gaige Aviation - Air Taxi","5","5"
"Private KNBC Los Angeles","2","2"
"LADE","6","6"
"Southwest Aviation - Air Taxi","4","4"
"Rambar Aviation - Air Taxi","4","4"
"Monarch Aviation","3","3"
"Kenai Air Service - Air Taxi","3","3"
"Island Airways","2","2"
"Transmeridian Air Cargo","4","4"
"Wright Air Service - Air Taxi","3","3"
"Servicios Aereos Nacionales Airways","33","33"
"Alaska Aeronautical Industries","13","13"
"Burma Airways","19","19"
"Safe Air Cargo","4","4"
"Military - U.S. Air Force","20","20"
"Malev Hungarian Airlines","53","29"
"Salida Flying Service - Air Taxi","6","6"
"Japan Air Lines","79","34"
"Kenmore Air  - Air Taxi","7","7"
"Air Logistics","2","2"
"L & J Company","26","6"
"Military - U.S. Marine Corps","37","24"
"El Al","","1"
"Servicios Aereos Martinez Leon","13","13"
"TAP (Air Portugal)","164","131"
"Ethiopian Airlines","5","5"
"Munz Northern Airlines","2","2"
"Austral Lineas Aeras (Argentina)","79","46"
"Military - French Air Force","34","34"
"Resort Air Service - Air Taxi","2","2"
"Balkan Bulgarian Airlines","165","59"
"Malaysia Airlines","100","100"
"Petroleum Helicopter","19","17"
"Aeroflot","23","17"
"Military - U.S. Navy","13","13"
"National Jet Services Inc.,  (Air Indiana)","29","29"
"Straley Flying Service - Air Taxi","2","2"
"SATA","57","36"
"United Air Lines","3","3"
"Vieques Air Link","10","5"
"Kenn Borek Air","8","8"
"Aviation Charter - Air Taxi","2","2"
"Valley Air Service","10","10"
"Servicios Aereos Nacionales","24","24"
"Air India","213","213"
"Aviation Charter - Air Taxi","2","2"
"Henry Webber Air - Air Taxi","2","2"
"SADELCA","14","14"
"TABA","14","2"
"Military - Uruguayan Air Force","44","44"
"Columbia PacifiAirlines","17","17"
"PacifiWestern Airlines","49","42"
"Chartair - Air Taxi","4","4"
"Yute Air Alaska - Air Taxi","3","3"
"Security Air","7","7"
"Continental Airlines","200","2"
"Island Air","6","2"
"Nigeria Airways","18","18"
"LAV - Linea Aeropostal Venezolana","47","47"
"Hesler Noble - Air Taxi","2","2"
"Wyman Pilot Service - Air Taxi","2","2"
"Balkan Bulgarian Airlines","73","73"
"Lake Havasu Air","6","6"
"Burma Airways","48","48"
"Aero Clube de Volta Redonda","4","4"
"Air Logistics","6","3"
"Antilles Air","9","2"
"Korean Airlines","109","2"
"Air Taxi","9","9"
"South PacifiIsland Airways","10","10"
"LAC Colombia","12","8"
"Alaska Travel","6","6"
"National Airlines","58","3"
"Military - Japan Maritime Self Defense Force","13","13"
"Aeroflot","134","4"
"Gander Aviation","10","10"
"Air Canada","107","2"
"Helikopter Service","18","18"
"Amphibians","11","5"
"Aeropeca","18","18"
"Webber Air - Air Taxi","12","12"
"Air Taxi","6","6"
"Burma Airways","14","14"
"Las Vegas Airlines","10","10"
"Antillies Air - Air Taxi","11","4"
"AirWest Airlines","13","11"
"Air Guinee","17","15"
"Air Rhodesia","56","38"
"Air Taxi","6","6"
"Lineas Areas del Centro","21","18"
"Temesco Helicopter - Air Taxi","3","3"
"Military - Philippine Air Force","28","21"
"Viking Air Service - Air Taxi","3","3"
"Business Aircraft - Air Taxi","3","3"
"PacifiSouthwest Airlines / Private","137","137"
"Francisco Cruz","6","6"
"Military - Finish Air Force","15","15"
"Burma Airways","44","2"
"Aeroflot","38","38"
"Era Helicopter - Air Taxi","7","2"
"Solomon Islands Airlines","11","11"
"Aeroflot","26","26"
"Don Zimmerman - Air Taxi","4","4"
"Taxi Aéreo Kovacs","9","9"
"Nile Delta Air Services","18","18"
"Astrd Wing Aviaiton - Air Taxi","2","2"
"Loftleidir IcelandiAirlines","262","183"
"Festus Flying Service - Air Taxi","2","2"
"Air Guadeloupe","20","15"
"Military - Indian Air Force","77","77"
"Taxi Aereo el Venado","27","27"
"Tyee Airlines - Air Taxi","5","5"
"Corporate Air - Air Taxi","3","3"
"Rocky Mountain Airways","22","2"
"Air 70","10","10"
"Indian Airlines","132","1"
"Galesburg Aviation - Air Taxi","2","2"
"Chugiak Aviation - Air Taxi","7","2"
"Alitalia","129","108"
"Haïti Air Inter","10","10"
"United Air Lines","189","10"
"Nash and Tampo - Air Taxi","5","5"
"Aeroflot","13","13"
"Aeroflot","3","3"
"L.J. Simmons - Air Taxi","6","4"
"Air Algerie","23","14"
"Air Rouergue","6","5"
"Aeropol","3","3"
"TAM Lineas Aéreas Regional","18","18"
"Allegheny Airlines","25","2"
"Air Rhodesia","59","59"
"Air New Zealand","4","2"
"Ethiopian Airlines","5","5"
"Air Gabon","3","3"
"Air Service - Air Taxi","3","3"
"Universal Airways","8","8"
"Agee Flying Service - Air Taxi","4","4"
"Garuda Indonesia Airlines","4","4"
"Swift Aire Lines Inc.","7","3"
"Alia Royal Jordanian Airlines","64","45"
"CAAC","12","12"
"Aeroflot","106","86"
"Aeroflot","29","29"
"Aeroflot","5","4"
"Village Aviation - Air Taxi","7","2"
"Interflug","10","10"
"Quebecair","24","17"
"SW Air Rangers - Air Taxi","3","3"
"Catalina Airlines","11","1"
"New York Airways","18","3"
"SAETA","57","57"
"Aeroflot","4","4"
"American Airlines","271","271"
"Ambler Air Service","9","7"
"Sea Airmotive","3","3"
"Military - Mauritanian Air Force","12","12"
"Downeast Airlines","18","17"
"Military - Indian Air Force","27","27"
"Skystream Airlines","2","2"
"Air New England","10","1"
"Garuda Indonesia Airlines","61","61"
"Soldotna Air Services","7","7"
"Fiji Air Services","9","9"
"Trans National Airlines","3","3"
"Trans Mediterranean Airways","6","6"
"Prinair","21","8"
"Dan Air Services","47","17"
"Private","3","1"
"Aeroflot","14","14"
"Indian Airlines","45","45"
"Boise Air Service","6","6"
"Southern Jersey Air - Air Taxi","3","3"
"Bahri Aviation","5","5"
"Aeroflot / Aeroflot","178","178"
"SATENA","1","1"
"Aeroflot","16","11"
"Aeroflot","63","63"
"Bradley Air Services","9","9"
"Aeroflot","43","40"
"Sterling Airways","10","10"
"China Airlines (Taiwan)","6","6"
"Butler Aviation Inc.","12","12"
"Aero Transporti Italiani","31","31"
"PacifiCoastal Airlines","9","4"
"Military - U.S. Air Force","5","5"
"West Coast Air","16","2"
"Southeast Skyways - Air Taxi","3","3"
"Comair","8","8"
"Swissair","156","14"
"Spernak Airway - Air Taxi","4","4"
"Rhoadgs Aviation - Air Taxi","2","2"
"","10","10"
"Procurator Generale de la Republica","10","10"
"Western Airlines","88","72"
"Austin Airways","3","3"
"Bankair Inc. - Air Taxi","7","5"
"McKenzie Flying Service - Air Taxi","3","3"
"American Airlines","78","0"
"Aeroflot","5","3"
"Transamerica Airlines","3","3"
"Smithers Air Service","4","3"
"Pakistan International Airlines","156","156"
"Air New Zealand","257","257"
"Aerolineas La Gaviola","9","9"
"Evergreen Helicopter - Air Taxi","4","4"
"Aeroflot","7","7"
"CAMBA","11","10"
"SATENA","19","19"
"Fuerza Aérea del Peru","29","29"
"Turkish Airlines (THY)","45","41"
"Douglas Airways","15","15"
"Haïti Air Inter","9","9"
"Private charter","2","2"
"Iran National Airlines","128","128"
"Pelita Air Service","13","13"
"Military - Union of Burma Air Force","44","43"
"Cubana de Aviacon","37","1"
"Advance Airlines","13","13"
"Rotor Airs In- Air Taxi","7","6"
"Military - Indian Air Force","47","46"
"China Airlines (Taiwan)","135","2"
"LOT Polish Airlines","87","87"
"Military - U.S. Air Force","18","18"
"Eagle Commuter","10","7"
"VOTEC","14","14"
"Tomahawk Airways","9","6"
"VoteTaxi Aéreo","9","9"
"Transbrasil","58","55"
"Military - U.S. Air Force","7","5"
"Dan Air Services","146","146"
"Thai Airways","53","44"
"VoteTaxi Aéreo","7","7"
"Cubana de Aviacion","3","3"
"Transportes Aereos del Caribe","70","70"
"Northeast Jet","2","2"
"Spanish Air Force","11","11"
"Lloyd Aereo Boliviano","13","13"
"Lineas Aereas de Angola","29","29"
"Air Wisconsin","15","13"
"Aeroflot","29","29"
"Aero PaLease - Air Taxi","2","2"
"Itavia","81","81"
"IMSS","13","13"
"Aeroflot","166","166"
"Ryan Air Services","8","8"
"SceniAirlines","8","8"
"Air Pennsylvania - Air Taxi","3","3"
"Aeronaves del Peru","7","3"
"Yute Air Alaska - Air Taxi","9","2"
"Air Logistics","13","13"
"Tarom","168","1"
"Prospec","3","3"
"Spantax","4","4"
"Saudi Arabian Airlines","291","2"
"Military - U.S. Air Force","11","11"
"Saudi Arabian Airlines","301","301"
"Bouraq Indonesia Airlines","37","37"
"Military - Kuwait Air Force","8","8"
"Aeronorte Colombia","3","3"
"Florida Commuter Airlines","34","34"
"Military - Force Aérienne Zaïroise","36","36"
"Military - Royal Saudi Air Force","89","89"
"Military - Zairean Air Force","36","36"
"Flugfelag Austurlands","3","3"
"Military - Soviet Air Force","45","45"
"Tampa Air Center - Air Taxi","3","3"
"Fuerza Aérea Venezolana","11","11"
"Military - U.S. Air Force","13","13"
"Provincial Air Services","4","4"
"Korean Airlines","226","15"
"F.R. de la Direccion General de Ados","20","20"
"Central Air Services","2","2"
"Tanzania Aviation","10","10"
"Queen Airmotive - Air Taxi","4","4"
"Penninsula Airways - Air Taxi","4","4"
"Eagle Airways","2","2"
"Aeropesca Colombia","50","50"
"Cascade Airways","9","7"
"Orcon Inc. - Air Taxi","3","2"
"Military - Soviet Navy","52","52"
"Walker - Watts Aviation - Air Taxi","4","4"
"Private - Corporate","8","8"
"Helicopter - Air Taxi","8","2"
"VOTEC","14","11"
"Berkshire Aviation - Air Taxi","3","2"
"Military - U.S. Air Force","24","23"
"Air Chaparral - Air Taxi","2","2"
"Military - French Naval Aviation","18","18"
"Military - U.S. Air Force","24","6"
"LOT Polish Airlines","52","1"
"Galena Air Service - Air Taxi","4","4"
"Talair","8","8"
"Urcupina","7","7"
"Freedom International","2","1"
"Air US / Private","19","15"
"Airfast Indonesia","17","15"
"Military - U.S. Air Force","21","21"
"Austral Lineas Aeras (Argentina)","31","31"
"TAAG Angola Airlines","4","4"
"Lineas Aereas","20","20"
"TAME","18","18"
"Military - Ecuadorean Air Force","27","27"
"Shanair Inc. - Air Taxi","3","2"
"Military - Egyptian Air Force","17","17"
"Aeroflot","52","52"
"Taiwan Airlines","2","2"
"Taxi Aéreo el Venado","12","2"
"Dan Air Services","3","3"
"G & W Aviation","5","5"
"TAR","4","4"
"Somali Airlines","50","50"
"Air Taxi","4","4"
"Air Madagascar","19","19"
"Transamazonica","9","4"
"Aeromexico","66","30"
"Skagway Air Service - Air Taxi","6","6"
"Far Eastern Air Transport","110","110"
"Aeroflot / Military - Russian Air Force","32","31"
"Aeroflot","34","3"
"Taxi Aereo el Venado","22","21"
"Aeroflot /Military - Russian","33","33"
"Military - U.S. Air Force","68","7"
"Military - Turkish Air Force","0","0"
"Military - Iranian Air Force","60","60"
"Sky Train Air","3","3"
"NLM (Nederlandse Luchtvaart Maatschappij)","17","17"
"Oefag Flugdienst","9","9"
"Aerolineas Argo","5","5"
"Cameroon Airlines","24","1"
"Aeromexico","18","18"
"Moyer Aviation - Air Taxi","4","4"
"Aeroflot","167","99"
"Royal Nepal Airlines","10","10"
"Guyana Airways","3","3"
"Inex Adria Aviopromet (Yugoslavia)","180","180"
"Private - Parajump air show","12","11"
"Spernak Airways - Air Taxi","4","4"
"Hudson Air Service - Air Taxi","4","2"
"Bristow Helicopters","","12"
"ACES Colombia","13","13"
"Linair Express","9","7"
"Sun West Airline - Air Taxi","6","4"
"Aeroflot","18","18"
"Air Taxi","2","2"
"Air Florida","79","74"
"Military - Ethiopian Air Force","73","73"
"World Airways","212","2"
"Tarom","7","7"
"Military - French Air Force","35","35"
"Military - Republiof South Korea Air Force","53","53"
"Military - Indian Air Force","23","23"
"Japan Air Lines","174","24"
"Trans Air Services","32","3"
"LAC Columbia","4","4"
"Pilgrim Airlines","12","1"
"Wideroe's Flyveselksap","15","15"
"British Airways","257","0"
"Aeroflot","132","132"
"Private","3","3"
"Military - U.S. Air Force","27","27"
"Garuda Indonesia Airlines","27","27"
"Aeropesca Colombia","21","21"
"Air Taxi","3","3"
"Military - U.S. Air Force","27","27"
"CAAC","112","112"
"Air Taxi","2","2"
"Okanagan Helicopters","13","13"
"Alyemda","49","47"
"Military - U.S. Air Force","7","7"
"Military - Royal British Navy","30","21"
"VASP","118","2"
"Pelita Air Service","10","10"
"Military - Republiof South Korea Air Force","53","53"
"VASP","137","137"
"TABA","44","44"
"Air India","111","17"
"Air Affaires Gabon","12","12"
"Aeroflot","90","90"
"Pan American World Airways","145","145"
"Philippine Air Lines","30","4"
"Air Taxi","4","4"
"Western Helicopter","1","0"
"Air Taxi","4","4"
"Air Taxi","2","2"
"Pan American World Airways","","1"
"Burma Airways","8","8"
"Aeroflot / Aeroflot","11","11"
"Military - Nicaraguan Air Force","20","20"
"Inter Island Air Services","10","10"
"Military - U.S. Air Force","9","9"
"Aerolineas Condor","44","44"
"Cia Brasiliera de Tratores","10","10"
"Military - U.S. Army","46","46"
"Spantax","394","50"
"Air Taxi","5","4"
"Central Mountain Air Services","5","5"
"Air Taxi","6","4"
"Aeroflot","77","7"
"Air Taxi","8","8"
"Far Eastern Air Transport","15","15"
"Air Taxi","2","2"
"TAAG Angola Airlines","15","15"
"Aerolineas Centrales de Colombia","22","22"
"Air Taxi - Basco Flying Service Inc.","5","3"
"Pioneer Airlines","2","2"
"Military - Nicaraguan Air Force","88","84"
"Air Taxi - Tyee Airlines Inc.","8","8"
"Aeronor Chile","46","46"
"Air Taxi - Custom Air Transport Inc.","2","2"
"Rijnmond Air Services","10","10"
"Aeroflot","16","16"
"CAAC","69","25"
"RepubliAirlines","33","1"
"United Air Lines","3","3"
"Talair","10","10"
"Turkish Airlines (THY)","67","47"
"Military - U.S. Air Force","6","6"
"Air Taxi","2","2"
"Aeroleo Taxi Aereo","11","11"
"Bakhtar Afghan Airlines","19","19"
"Avensa","50","23"
"Air Taxi","4","4"
"Central Airlines","2","2"
"Total","8","8"
"Munz Northern Airlines","3","2"
"Air Liberia","9","8"
"Aeroflot","21","21"
"Japan Air Self-Defence Force","14","14"
"Military - Japan Maritime Self Defense Force","14","11"
"SAN Ecuador","100","8"
"Military - United States Navy","15","14"
"Military - Royal Thai Air Force","30","30"
"Eastern Air Lines","172","0"
"Garuda Indonesia Airlines","61","3"
"Air Canada","46","23"
"Military - Republiof China Air Force","47","47"
"Military - U.S. Navy","14","14"
"Air Mali","7","7"
"Air Taxi - Four Corners Aviation Inc.","5","2"
"Military - U.S. Air Force","6","6"
"CAAK","23","23"
"TAME","119","119"
"British Airways Helicopters","26","20"
"Air Canada","69","0"
"Bali International Air Service","11","7"
"Bali International Air Service","2","2"
"Air Taxi - Northern Air Services Inc.","2","2"
"Las Vegas Airlines","10","10"
"Transamerica Airlines","7","7"
"Moore's Air Charter","12","12"
"Aeroflot","90","90"
"Korean Airlines","269","269"
"Central Mountain Air Services","9","9"
"CAAC","106","11"
"Gulf Air","112","112"
"Air Taxi","2","2"
"Taiwan Airlines","10","10"
"Aeroflot","9","9"
"Air Taxi - Ozark Skyways Inc.","4","4"
"TAM Lineas Aéreas Regional","15","7"
"Burma Airways","14","9"
"Air Illinois","10","10"
"Pennsylvania Airlines","30","1"
"TAAG Angola Airlines","130","130"
"Austin Airways","7","4"
"Air Taxi","8","8"
"AVIANCA","192","181"
"Nigeria Airways","72","53"
"Iberia Airlines / Aviaco","135","93"
"Air Taxi - Island Airlines","4","4"
